lad,measured,predicted
0.98,1.00,0.95
0.98,1.00,0.95
0.96,1.00,0.95
0.94,1.00,0.95
0.95,1.00,0.95
0.00,0.02,0.02
0.99,1.00,0.98
0.07,0.43,0.26
0.60,0.73,0.69
0.92,0.96,0.88
0.00,0.03,0.00
0.98,1.00,0.93
0.99,0.99,0.93
0.42,0.63,0.44
0.65,0.71,0.65
0.97,1.00,0.95
0.92,1.00,0.93
0.96,1.00,0.95
0.87,0.98,0.85
0.45,0.68,0.65
0.99,1.00,0.98
0.84,0.98,0.80
0.97,1.00,0.95
0.97,1.00,0.95
0.00,0.00,0.00
0.90,0.99,0.85
0.88,1.00,0.84
0.08,0.12,0.17
0.99,1.00,0.98
0.59,0.91,0.82
0.98,1.00,0.95
0.76,0.96,0.90
0.96,1.00,0.95
0.96,1.00,0.93
1.00,1.00,0.98
0.05,0.11,0.02
0.89,0.94,0.84
0.96,1.00,0.90
0.99,1.00,0.98
0.92,0.98,0.86
0.55,0.78,0.75
0.98,1.00,0.95
0.85,0.96,0.79
0.43,0.66,0.65
0.92,0.95,0.87
0.91,1.00,0.90
0.93,1.00,0.95
0.88,0.96,0.77
0.97,1.00,0.95
0.34,0.49,0.26
0.99,1.00,0.95
0.75,0.89,0.75
0.99,1.00,0.95
0.98,1.00,0.90
0.77,0.91,0.80
0.96,0.98,0.95
0.74,0.83,0.80
0.94,1.00,0.90
0.01,0.01,0.01
0.98,1.00,0.95
0.54,0.65,0.65
0.99,1.00,0.95
0.97,0.99,0.95
0.97,1.00,0.98
0.91,0.96,0.93
0.57,0.66,0.36
0.99,1.00,0.98
0.97,1.00,0.95
0.89,0.99,0.90
1.00,1.00,0.98
0.92,1.00,0.85
0.03,0.09,0.02
0.94,1.00,0.90
1.00,1.00,0.90
0.01,0.02,0.00
0.93,1.00,0.90
0.92,1.00,0.87
0.85,0.97,0.85
0.87,0.97,0.86
0.98,1.00,0.98
0.40,0.59,0.45
0.92,1.00,0.95
0.88,0.84,0.66
0.70,0.78,0.80
0.10,0.28,0.11
0.94,1.00,0.85
0.60,0.86,0.65
0.94,1.00,0.93
0.87,0.96,0.79
0.97,1.00,0.95
0.94,0.99,0.95
0.81,0.88,0.63
1.00,0.99,0.95
0.97,1.00,0.95
0.96,1.00,0.95
0.69,0.88,0.80
0.94,0.99,0.90
0.94,1.00,0.80
0.63,0.79,0.60
0.98,1.00,0.98
0.97,1.00,0.95
0.93,1.00,0.79
0.98,1.00,0.95
0.91,0.99,0.90
0.91,0.98,0.84
